sample,PHLDA3,study,stype,site,disease
TCGA-BH-A0DK-11,10.2,TCGA,Solid Tissue Normal,Breast,Breast Invasive Carcinoma
GTEX-RM2N-1826-SM-2TF5B,10.39,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
TCGA-56-8626-01,12.53,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-SR-A6MV-01,12.53,TCGA,Primary Tumor,Paraganglia,Pheochromocytoma & Paraganglioma
TARGET-30-PARZCJ-02,12.19,TARGET,Recurrent Solid Tumor,Sympathetic�Nervous System,Neuroblastoma
TCGA-IN-8462-01,10.98,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-MQ-A6BL-01,12.01,TCGA,Primary Tumor,Lining of body cavities,Mesothelioma
TCGA-DK-A2HX-01,13.46,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
GTEX-Y8LW-0002-SM-4V6G2,9.251,GTEX,Cell Line,Blood,Cells - Ebv-Transformed Lymphocytes
TCGA-QR-A70N-01,11.21,TCGA,Primary Tumor,Paraganglia,Pheochromocytoma & Paraganglioma
TCGA-CZ-5469-11,9.253,TCGA,Solid Tissue Normal,Kidney,Kidney Clear Cell Carcinoma
TCGA-A8-A07I-01,10.27,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-NPJ8-0011-R1a-SM-5SI8B,11.52,GTEX,Normal Tissue,Brain,Brain - Hippocampus
GTEX-YEC4-1826-SM-4W1YP,11.44,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
GTEX-XUJ4-0005-SM-4BOQ6,4.292,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-77-A5G8-01,12.26,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-A3-3362-01,10.05,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-CG-5733-11,10.0,TCGA,Solid Tissue Normal,Stomach,Stomach Adenocarcinoma
GTEX-TKQ2-1326-SM-4DXT9,10.63,GTEX,Normal Tissue,Colon,Colon - Transverse
TCGA-A2-A0EY-01,9.894,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-CZ-5461-01,10.69,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
GTEX-YFC4-1526-SM-5IFJS,6.656,GTEX,Normal Tissue,Liver,Liver
TCGA-EL-A3N2-01,11.38,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
GTEX-145MO-1326-SM-5Q5EF,10.96,GTEX,Normal Tissue,Lung,Lung
GTEX-WYVS-1426-SM-4ONCV,11.48,GTEX,Normal Tissue,Vagina,Vagina
GTEX-14E6E-1526-SM-5RQIG,8.528,GTEX,Normal Tissue,Colon,Colon - Transverse
GTEX-139UW-0426-SM-5K7V4,11.44,GTEX,Normal Tissue,Blood Vessel,Artery - Aorta
TCGA-DD-AADP-01,8.739,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
GTEX-11OF3-3026-SM-5GU52,10.27,GTEX,Normal Tissue,Pituitary,Pituitary
GTEX-ZTX8-1326-SM-4YCEL,11.32,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
TCGA-DX-AB32-01,10.78,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
GTEX-RN64-0326-SM-2TC5J,10.33,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
