ensembl,log2FC_tumor_vs_normal,AUC,AUC_disc,pval,mean_logCPM_tumor,FDR,symbol,gene_type
ENSG00000182348,-2.7131062996122837,0.06352177496908916,0.9364782250309108,4.853041606600255e-28,0.6447624379578712,4.7715584388844975e-26,ZNF804B,protein-coding
ENSG00000105711,1.8528716741795501,0.9364610523423548,0.9364610523423548,1.2599066306984966e-27,3.821224556579649,1.0561996217771397e-25,SCN1B,protein-coding
ENSG00000215218,1.8366061235904627,0.936358016211018,0.936358016211018,1.295988454275207e-27,3.727057808072057,1.0807593769474082e-25,UBE2QL1,protein-coding
ENSG00000187134,-1.7881320559938003,0.06371067454320649,0.9362893254567934,1.3206104534071422e-27,1.3698573084523629,1.0945121124564778e-25,AKR1C1,protein-coding
ENSG00000159761,-0.8381041285251181,0.06374501992031872,0.9362549800796813,1.3330948632380505e-27,1.1138460846371747,1.0945121124564778e-25,C16orf86,protein-coding
ENSG00000258117,-0.8896222389955443,0.06374501992031872,0.9362549800796813,9.934537492986037e-30,0.18227509423590071,2.5117517411363203e-27,LINC03056,
ENSG00000196781,-1.3625972665331951,0.06374501992031872,0.9362549800796813,1.3330948632380505e-27,3.5966990619987205,1.0945121124564778e-25,TLE1,protein-coding
ENSG00000152292,-1.4654131009344642,0.06377936529743096,0.936220634702569,1.3456963139321864e-27,0.6469262787285586,1.0991923532467622e-25,SH2D6,protein-coding
ENSG00000167751,-1.8013181484731406,0.06391674680587993,0.9360832531941201,1.3940487163758055e-27,0.686626365018094,1.132877956858869e-25,KLK2,protein-coding
ENSG00000149972,-2.193245962112853,0.06398543756010441,0.9360145624398956,1.4238216024244814e-27,0.787235714345106,1.151199516924728e-25,CNTN5,protein-coding
ENSG00000117298,1.3869306187300499,0.9359458716856711,0.9359458716856711,1.450854067910123e-27,8.476551024293013,1.1612665122448462e-25,ECE1,protein-coding
ENSG00000133640,-1.1121200909162037,0.0640541283143289,0.9359458716856711,1.450854067910123e-27,1.0622889354484897,1.1612665122448462e-25,LRRIQ1,protein-coding
ENSG00000244405,1.5844876185273202,0.9358428355543343,0.9358428355543343,1.492355396861547e-27,5.810745665767782,1.188511838060536e-25,ETV5,protein-coding
ENSG00000139880,0.9703182462382394,0.9357741448001099,0.9357741448001099,1.5206748518302406e-27,3.0559328962104164,1.2050402507438842e-25,CDH24,protein-coding
ENSG00000198121,-1.4628527924200627,0.0645693089710125,0.9354306910289876,1.670466964834e-27,2.8614421076538026,1.3106993997968448e-25,LPAR1,protein-coding
ENSG00000015475,1.6322992072832916,0.935362000274763,0.935362000274763,1.7021365566938457e-27,4.460527089332012,1.3290015232852732e-25,BID,protein-coding
ENSG00000116194,-2.1319151963111436,0.06477538123368595,0.935224618766314,1.7672728951676294e-27,3.3314193767824154,1.3731279353282929e-25,ANGPTL1,protein-coding
ENSG00000151892,-2.1082119985933647,0.06487841736502267,0.9351215826349774,1.8176680185638704e-27,1.073671518187537,1.405427970858511e-25,GFRA1,protein-coding
