Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,nlogq
GO_Biological_Process_2021,regulation of transforming growth factor beta receptor signaling pathway,5/100,0.0174079811723493,0.2104580287887872,0,0,3.4977698483496877,14.16885875713136,FAM89B;ITGA3;GIPC1;TGFB1I1;VASN,0.6768345016472228
GO_Biological_Process_2021,regulation of integrin-mediated signaling pathway,2/14,0.0181180861341392,0.2162703192973836,0,0,11.01118568232662,44.164154696121685,CD63;TIMP1,0.6650030785721937
GO_Biological_Process_2021,cytoplasmic sequestering of transcription factor,2/14,0.0181180861341392,0.2162703192973836,0,0,11.01118568232662,44.164154696121685,TMSB4X;NFKBIE,0.6650030785721937
GO_Biological_Process_2021,positive regulation of apoptotic process,10/310,0.0190863077117543,0.2252208800536713,0,0,2.2298850574712645,8.8276334540102,PYCARD;RARG;TNFRSF12A;PIP5KL1;TNFRSF10B;BAX;PLEKHN1;BID;CTSD;NGEF,0.6473913488485316
GO_Biological_Process_2021,gene expression,11/356,0.0191067554658469,0.2252208800536713,0,0,2.1353492803771124,8.451100283718397,RPS9;RPS19;RPS8;RPLP1;RPL36;RPLP2;RPL13;RPS20;RPS2;RPL8;RPL28,0.6473913488485316
GO_Biological_Process_2021,regulation of I-kappaB kinase/NF-kappaB signaling,8/224,0.0201423595866688,0.2323920358912504,0,0,2.471334348046677,9.650388227195744,PYCARD;UNC5CL;LGALS1;SHISA5;TNFRSF10B;S100A4;RHOC;TNFRSF1A,0.633778759361521
GO_Biological_Process_2021,endothelial cell migration,3/39,0.0205119471266467,0.2323920358912504,0,0,5.517396184062851,21.444727347310415,PTP4A3;S100A2;GIPC1,0.633778759361521
GO_Biological_Process_2021,regulation of establishment of protein localization,2/15,0.0207008812458802,0.2323920358912504,0,0,10.1636551368095,39.41037579646029,PTP4A3;CTSD,0.633778759361521
GO_Biological_Process_2021,fibrinolysis,2/15,0.0207008812458802,0.2323920358912504,0,0,10.1636551368095,39.41037579646029,PLAU;PLAUR,0.633778759361521
GO_Biological_Process_2021,regulation of triglyceride biosynthetic process,2/15,0.0207008812458802,0.2323920358912504,0,0,10.1636551368095,39.41037579646029,CTDNEP1;SREBF1,0.633778759361521
GO_Biological_Process_2021,macrophage migration,2/15,0.0207008812458802,0.2323920358912504,0,0,10.1636551368095,39.41037579646029,LGALS3;CKLF,0.633778759361521
GO_Biological_Process_2021,membrane raft organization,2/15,0.0207008812458802,0.2323920358912504,0,0,10.1636551368095,39.41037579646029,ANXA2;S100A10,0.633778759361521
GO_Biological_Process_2021,placenta development,2/15,0.0207008812458802,0.2323920358912504,0,0,10.1636551368095,39.41037579646029,ANG;PHLDA2,0.633778759361521
GO_Biological_Process_2021,cellular protein modification process,24/1025,0.0209953250978796,0.2333484708338569,0,0,1.6243756243756244,6.275702908267107,SERPINA1;SHISA5;B3GALT4;SIRT6;RABGGTA;PSMB8;DDA1;DDB2;CST3;CTDNEP1;LGALS1;CDC34;PSMD4;EVA1A;PRKAR1B;MXRA8;B3GNT3;FAM20C;QSOX1;TIMP1;FAM20A;MFGE8;MAP3K6;LCMT1,0.6319950407638
GO_Biological_Process_2021,activation of GTPase activity,5/105,0.0210335313052787,0.2333484708338569,0,0,3.3220338983050848,12.82849029876268,TBC1D2;RHOG;TAX1BP3;NGEF;SIPA1,0.6319950407638
GO_Biological_Process_2021,positive regulation of cation channel activity,3/40,0.0219347094567028,0.2397442400287202,0,0,5.368004368004368,20.504085711257854,P2RY6;GSTO1;TMSB4X,0.6202518181668615
GO_Biological_Process_2021,fatty acid biosynthetic process,4/71,0.0219913857502484,0.2397442400287202,0,0,3.9598628479225497,15.115210134265594,ACOT7;GPX4;LIPH;ALOX5,0.6202518181668615
GO_Biological_Process_2021,gland development,4/71,0.0219913857502484,0.2397442400287202,0,0,3.9598628479225497,15.115210134265594,MDK;LSR;ALOX15B;EPHB3,0.6202518181668615
GO_Biological_Process_2021,cell junction organization,4/72,0.0230185802725619,0.2441057007992038,0,0,3.901430842607313,14.714065206272334,VASP;DVL1;SNCG;CLDN1,0.6124220780316995
GO_Biological_Process_2021,regulation of mitochondrial membrane potential,3/41,0.0234100696744602,0.2441057007992038,0,0,5.226475279106858,19.62326670258423,PIP5KL1;BAX;BCL2L1,0.6124220780316995
GO_Biological_Process_2021,epithelial cell migration,3/41,0.0234100696744602,0.2441057007992038,0,0,5.226475279106858,19.62326670258423,PTP4A3;S100A2;GIPC1,0.6124220780316995
GO_Biological_Process_2021,regulation of ceramide biosynthetic process,2/16,0.0234268991753212,0.2441057007992038,0,0,9.437200383509108,35.4260269843418,SPHK1;TNFRSF1A,0.6124220780316995
GO_Biological_Process_2021,epiboly involved in wound healing,2/16,0.0234268991753212,0.2441057007992038,0,0,9.437200383509108,35.4260269843418,CD151;RHOC,0.6124220780316995
GO_Biological_Process_2021,negative regulation of immune effector process,2/16,0.0234268991753212,0.2441057007992038,0,0,9.437200383509108,35.4260269843418,LGALS3;RPS19,0.6124220780316995
GO_Biological_Process_2021,negative regulation of release of cytochrome c from mitochondria,2/16,0.0234268991753212,0.2441057007992038,0,0,9.437200383509108,35.4260269843418,GPX1;BCL2L1,0.6124220780316995
GO_Biological_Process_2021,positive regulation of leukocyte adhesion to vascular endothelial cell,2/16,0.0234268991753212,0.2441057007992038,0,0,9.437200383509108,35.4260269843418,MDK;ALOX5,0.6124220780316995
GO_Biological_Process_2021,regulation of actin filament-based process,4/73,0.0240745147806038,0.2494754663528513,0,0,3.8446925186055623,14.327636814575126,RHOG;TWF2;GRHL3;RHOC,0.6029721568600832
GO_Biological_Process_2021,regulation of cytokine-mediated signaling pathway,4/74,0.0251593464550974,0.256489337374669,0,0,3.7895752895752897,13.95520886221466,PYCARD;SPHK1;RUNX1;TNFRSF1A,0.5909306844141349
GO_Biological_Process_2021,negative regulation of protein binding,4/74,0.0251593464550974,0.256489337374669,0,0,3.7895752895752897,13.95520886221466,CDKN1A;SLPI;DVL1;BAX,0.5909306844141349
GO_Biological_Process_2021,NIK/NF-kappaB signaling,4/74,0.0251593464550974,0.256489337374669,0,0,3.7895752895752897,13.95520886221466,PSMD4;TNFRSF10B;PSMB8;NFKB2,0.5909306844141349
GO_Biological_Process_2021,response to purine-containing compound,2/17,0.0262912922530724,0.2632307312919095,0,0,8.807606263982104,32.04662941593047,RYR1;P2RY6,0.5796634096956483
GO_Biological_Process_2021,ribosomal small subunit assembly,2/17,0.0262912922530724,0.2632307312919095,0,0,8.807606263982104,32.04662941593047,RPS19;RPS27L,0.5796634096956483
GO_Biological_Process_2021,positive regulation of smooth muscle cell migration,2/17,0.0262912922530724,0.2632307312919095,0,0,8.807606263982104,32.04662941593047,MDK;S100A11,0.5796634096956483
GO_Biological_Process_2021,lipid modification,3/43,0.026518472399503,0.2632307312919095,0,0,4.9646464646464645,18.021238302831456,ALOX5;MBOAT7;ALOX15B,0.5796634096956483
GO_Biological_Process_2021,negative regulation of proteolysis,3/43,0.026518472399503,0.2632307312919095,0,0,4.9646464646464645,18.021238302831456,CST3;CSTB;TIMP1,0.5796634096956483
GO_Biological_Process_2021,lymphocyte chemotaxis,3/44,0.0281513633208773,0.2765284959540352,0,0,4.8433111603843315,17.29139332642442,HSD3B7;CKLF;CXCL16,0.5582601084897552
GO_Biological_Process_2021,positive regulation of cell-matrix adhesion,3/44,0.0281513633208773,0.2765284959540352,0,0,4.8433111603843315,17.29139332642442,RRAS;GFUS;S100A10,0.5582601084897552
GO_Biological_Process_2021,negative regulation of cell population proliferation,11/379,0.0285449296843421,0.2789416444801517,0,0,1.999511057619979,7.11081309176268,SULT2B1;RARG;CDKN1A;TGFB1I1;LMNA;HMGA1;ANG;P3H3;IGFBP6;ALOX15B;S100A11,0.5544866430742306
GO_Biological_Process_2021,regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,2/18,0.0292893251617639,0.2818350370157494,0,0,8.256711409395972,29.150585152617744,BAX;BID,0.550005017483823
GO_Biological_Process_2021,regulation of vascular endothelial cell proliferation,2/18,0.0292893251617639,0.2818350370157494,0,0,8.256711409395972,29.150585152617744,MDK;SIRT6,0.550005017483823
GO_Biological_Process_2021,rRNA transcription,2/18,0.0292893251617639,0.2818350370157494,0,0,8.256711409395972,29.150585152617744,CAVIN1;ANG,0.550005017483823
