sample,grp,celltype,PHLDA3,p53
PTC01,PTC,Malignant cell,0.0,0.31876245268532394
PTC01,PTC,Malignant cell,0.5027837049498233,0.40346965645749777
PTC01,PTC,T cell,0.0,0.0
PTC01,PTC,Myeloid cell,0.0,0.33059110388752555
PTC01,PTC,Malignant cell,0.5721885033005785,0.39823178982953644
PTC01,PTC,Malignant cell,0.0,0.40402121549188397
PTC01,PTC,Malignant cell,0.6176446548319715,0.19530503013481773
PTC01,PTC,Malignant cell,0.0,0.29375327547941577
PTC01,PTC,Malignant cell,0.0,0.21413452818324263
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.4205274929522391
PTC01,PTC,Malignant cell,0.5853438183034938,0.4544836326542905
PTC01,PTC,Malignant cell,1.508487073977086,0.30358309888181395
PTC01,PTC,Malignant cell,0.6236100375175377,0.27898596099306383
PTC01,PTC,Myeloid cell,0.0,0.09860431161568746
PTC01,PTC,Malignant cell,0.0,0.37136408525862885
PTC01,PTC,Malignant cell,0.0,0.10683064886107807
PTC01,PTC,Endothelial cell,0.0,0.13501640949452315
PTC01,PTC,Malignant cell,0.7856425082687479,0.14431033859027295
PTC01,PTC,T cell,0.0,0.39620336209781154
PTC01,PTC,Malignant cell,1.014873714440142,0.14016387506427078
PTC01,PTC,Myeloid cell,0.0,0.0762787609223829
PTC01,PTC,Endothelial cell,0.0,0.25944145139305674
PTC01,PTC,Myeloid cell,0.0,0.3890941865585106
PTC01,PTC,Malignant cell,0.554878707776773,0.6093363840726267
PTC01,PTC,Fibroblast,2.3978952727983707,0.24438951146557114
PTC01,PTC,Malignant cell,0.0,0.11296730605907777
PTC01,PTC,Malignant cell,0.0,0.3801817249105563
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.16535225914315105
PTC01,PTC,Malignant cell,0.0,0.12450373417779977
PTC01,PTC,Myeloid cell,0.0,0.19341417709823017
PTC01,PTC,Malignant cell,0.0,0.32406863888388976
PTC01,PTC,Endothelial cell,1.2369203558558783,0.0687177975475488
PTC01,PTC,Malignant cell,0.0,0.3016224051621055
PTC01,PTC,Malignant cell,0.0,0.043205809366000464
PTC01,PTC,Malignant cell,0.3761336876576057,0.4868485309304755
PTC01,PTC,Malignant cell,1.4333802215107896,0.11108584234263418
PTC01,PTC,T cell,0.0,0.34806968410668915
PTC01,PTC,T cell,0.0,0.12694692715003894
PTC01,PTC,Endothelial cell,0.0,0.08727221627898199
PTC01,PTC,Myeloid cell,0.0,0.33682066989662524
PTC01,PTC,Malignant cell,1.033284977959614,0.28486688093540763
PTC01,PTC,Myeloid cell,0.0,0.3335239514471778
PTC01,PTC,Myeloid cell,0.0,0.08383530756211736
PTC01,PTC,Malignant cell,0.0,0.11301542478274931
PTC01,PTC,Endothelial cell,0.0,0.07938996143256843
PTC01,PTC,Malignant cell,0.0,0.22598044345031118
PTC01,PTC,Malignant cell,0.0,0.55681987146488
PTC01,PTC,T cell,0.0,0.11994678138640426
PTC01,PTC,Myeloid cell,0.0,0.666031555885351
